record_key,doi,openalex_id,title,authors,year,type,source,cited_by_count,query_ids,title_screen_candidate
10.1088/0957-0233/24/9/095203,10.1088/0957-0233/24/9/095203,https://openalex.org/W1988755992,Two-dimensional surface temperature diagnostics in a full-metal engine using thermographic phosphors,N. Fuhrmann; M. B. Schneider; C-P Ding; J. Brübach; Andreas Dreizler,2013,article,Measurement Science and Technology,41,Q08,no
10.1088/1126-6708/2004/08/029,10.1088/1126-6708/2004/08/029,https://openalex.org/W2012673169,Giant gravitons in AdS/CFT (I): matrix model and back reaction,Marco M. Caldarelli; Pedro J. Silva,2004,article,Journal of High Energy Physics,51,Q02,no
10.1088/1361-6501/aad1e1,10.1088/1361-6501/aad1e1,https://openalex.org/W2814929422,A 3D measuring endoscope for hand-guided operation,Steffen Matthias; Markus Kästner; Eduard Reithmeier,2018,article,Measurement Science and Technology,6,Q07,no
10.1088/1361-6501/ab63b2,10.1088/1361-6501/ab63b2,https://openalex.org/W2996229497,Uniaxial three-dimensional phase-shifting profilometry using a dual-telecentric structured light system in micro-scale devices,Min Zhong; Jin Cui; Jae‐Sang Hyun; Liang Pan; Peng Duan; Song Zhang,2019,article,Measurement Science and Technology,14,Q09,no
10.1088/1361-6501/abe288,10.1088/1361-6501/abe288,https://openalex.org/W3128562106,The calibration method of the circle-structured light measurement system for inner surfaces considering systematic errors,Yuchu Dong; Changshuai Fang; Linlin Zhu; Ning Yan; Xiaodong Zhang,2021,article,Measurement Science and Technology,31,Q05,yes
10.1088/1361-6501/acc048,10.1088/1361-6501/acc048,https://openalex.org/W4322723871,A compact LWIR borescope sensor for 2D engine component surface temperature measurement,Paul S. Hsu; Trevor C. Chen; Awnik Roy; Andy Zhang; Oleksandr Bibik; Subodh Adhikari; Benjamin Emerson; Tim Lieuwen,2023,article,Measurement Science and Technology,4,Q08,yes
10.1088/1361-6501/acf7df,10.1088/1361-6501/acf7df,https://openalex.org/W4386533465,Sphericity measurement based on telecentric imaging mechanism with image distortion correction and eccentricity error compensation,Jingzhi Huang; Dongshan Lian; Runze Yang; Yongmeng Liu; Jiubin Tan,2023,article,Measurement Science and Technology,5,Q05,no
10.1088/1361-6501/ad3a86,10.1088/1361-6501/ad3a86,https://openalex.org/W4393925446,Internal surface inspection method under linear structured light illumination based on dual non-coaxial optical paths,Zhimin Zhang; Pengyang Li; Qiuhong Huang; Lingjian Zhu,2024,article,Measurement Science and Technology,2,Q02;Q05;Q09,yes
10.1088/1361-6501/ad4bfb,10.1088/1361-6501/ad4bfb,https://openalex.org/W4396939269,Accuracy improvement of a multi-ring beam structured inner surface measurement: via novel calibration methodology and light source optimization,Xiang Li; Chunyu Deng; Yingna Wu; Tingting Yang; Rui Yang; Na Ni; Guangping Xie,2024,article,Measurement Science and Technology,6,Q05,yes
10.1088/1361-6501/add610,10.1088/1361-6501/add610,https://openalex.org/W4410198282,Pipeline inner surface 3D vision measuring system based on robot equipped with multi-directional structured-light sensor,Yang Liu; Fuqiang Zhou; Zhanshe Guo; Xiaosong Li; Xiaoqi Cheng; Haishu Tan,2025,article,Measurement Science and Technology,2,Q05,yes
10.1088/1361-6501/add8aa,10.1088/1361-6501/add8aa,https://openalex.org/W4410352639,Neural network-based calibration for simultaneous measurement of blade tip clearance and rotor axial displacement with skewed-dual-light-probe,Xiaolei Guo; Huoxing Liu; Zhihong Zhou,2025,article,Measurement Science and Technology,0,Q12,yes
10.1088/1361-6501/ae0e8e,10.1088/1361-6501/ae0e8e,https://openalex.org/W4414763797,Calibration method for deep hole inner surface measurement system based on circular structured light,Huifu Du; Daguo Yu; Lingling Cui,2025,article,Measurement Science and Technology,2,Q02;Q05,yes
10.1088/1742-6596/100/1/012004,10.1088/1742-6596/100/1/012004,https://openalex.org/W1974013949,Characterization of electro-eroded surface of Ti alloys,V. Starý; V. Peřina; Lucie Bačáková; Ivan Jirka; V. Vorlı́ček; Jaroslav Fencl,2008,conference-paper,Journal of Physics Conference Series,0,Q09,no
10.1088/1742-6596/1325/1/012118,10.1088/1742-6596/1325/1/012118,https://openalex.org/W2985542785,High precision 3D measurement method of pipeline on complex working conditions research,Wei Lu; Xiang Liu,2019,conference-paper,Journal of Physics Conference Series,0,Q05,yes
10.1088/1742-6596/2428/1/012032,10.1088/1742-6596/2428/1/012032,https://openalex.org/W4321493945,Research on Tip Clearance Measurement Technology of Aero-engine Blade Based on Optical Fiber Sensing System,Huiping Ma; Xiaoming Wang; Xiaoguang Zhang; Yongmeng Liu,2023,conference-paper,Journal of Physics Conference Series,0,Q12,yes
10.1088/1742-6596/3076/1/012016,10.1088/1742-6596/3076/1/012016,https://openalex.org/W4413647981,Optimization of Electrical Discharge Machining Parameters for Deep Hole Drilling in Waspaloy,Arun Kumaran; Aravindh Kumaran; Tejas Patil; Bibin Jose,2025,conference-paper,Journal of Physics Conference Series,1,Q02,no
10.1088/1742-6596/48/1/165,10.1088/1742-6596/48/1/165,https://openalex.org/W2112536950,Measurement of Rotating Blade Tip Clearance with Fibre-Optic Probe,Suzhi Cao; Fajie Duan; Y G Zhang,2006,conference-paper,Journal of Physics Conference Series,25,Q12,yes
10.1088/1748-0221/18/02/c02021,10.1088/1748-0221/18/02/c02021,https://openalex.org/W4319347244,Safeguards equipment for the spent nuclear fuel of pressurized heavy water reactors,Y. Kim; Kyung Taek Lim; S. Kwag; H. Chung,2023,article,Journal of Instrumentation,2,Q04,no
10.1088/1748-0221/19/02/p02034,10.1088/1748-0221/19/02/p02034,https://openalex.org/W4392170350,Vision-based measurement method for geometric dimensions of PVC pipe end faces,Yinyin Yu; Zhifan Zhao; Huaishu Hou; Shuaijun Xia,2024,article,Journal of Instrumentation,2,Q05,yes
10.1088/1748-3190/ad1069,10.1088/1748-3190/ad1069,https://openalex.org/W4389109458,Hingeless arm for space robotics actuated through shape memory alloys,Tiziana Biasutti; Daniela Rigamonti; Emanuele Casciaro; Antonio Mattia Grande; Paolo Bettini,2023,article,Bioinspiration & Biomimetics,6,Q08,no
10.1088/1752-7163/aa9769,10.1088/1752-7163/aa9769,https://openalex.org/W2765246158,Instrumental sensing of trace volatiles—a new promising tool for detecting the presence of entrapped or hidden people,Paweł Mochalski; Veronika Ruzsányi; Helmut Wiesenhofer; Chris A. Mayhew,2017,article,Journal of Breath Research,11,Q08,no
10.1088/1757-899x/971/2/022086,10.1088/1757-899x/971/2/022086,https://openalex.org/W3109719543,Improving the accuracy of deep hole machining by diamond honing process in 41Cr4 steel parts,Eshreb Dzhemilov; Alper Uysal,2020,conference-paper,IOP Conference Series Materials Science and Engineering,2,Q02,no
10.1088/2040-8986/aaa114,10.1088/2040-8986/aaa114,https://openalex.org/W2782638258,Roadmap on plasmonics,Mark I. Stockman; Katrin Kneipp; Sergey I. Bozhevolnyi; Soham Saha; Aveek Dutta; Justus C. Ndukaife; Nathaniel Kinsey; Harsha Reddy; Urcan Guler; Vladimir M. Shalaev; Alexandra Boltasseva; Behrad Gholipour; Harish N. S. Krishnamoorthy; Kevin F. MacDonald; Cesare Soci; Nikolay I. Zheludev; Vassili Savinov; Ranjan Singh; Petra Groß; Christoph Lienau; Michal Vadai; Michelle L. Solomon; David R. Barton; Mark Lawrence; Jennifer A. Dionne; Svetlana V. Boriskina; Rubén Esteban; Javier Aizpurua; Xiang Zhang; Sui Yang; Danqing Wang; Weijia Wang; Teri W. Odom; Nicolò Accanto; Pablo M. de Roque; Ion M. Hancu; Łukasz Piątkowski; N.F. van Hulst; Matthias F. Kling,2018,article,Journal of Optics,319,Q04,no
10.1088/2051-672x/ae6ba0,10.1088/2051-672x/ae6ba0,https://openalex.org/W7162415622,On Gaussian filtering of scattered point clouds for surface metrology,Joseph Lifton,2026,article,Surface Topography Metrology and Properties,0,Q11,no
10.1088/2053-1583/3/4/042001,10.1088/2053-1583/3/4/042001,https://openalex.org/W2559776336,"2D materials advances: from large scale synthesis and controlled heterostructures to improved characterization techniques, defects and applications",Zhong Lin; Amber McCreary; Natalie Briggs; S. Subramanian; Kehao Zhang; Yifan Sun; Xufan Li; Nicholas J. Borys; Hongtao Yuan; Susan K. Fullerton‐Shirey; Alexey Chernikov; Hui Zhao; Stephen McDonnell; Aaron M. Lindenberg; Kai Xiao; Brian J. LeRoy; Marija Drndić; James C. M. Hwang; Jiwoong Park; Manish Chhowalla; Raymond E. Schaak; Ali Javey; Mark C. Hersam; Joshua A. Robinson; Mauricio Terrones,2016,article,2D Materials,523,Q04,no
10.1088/2515-7647/aba5a7,10.1088/2515-7647/aba5a7,https://openalex.org/W3042833588,Realising superoscillations: A review of mathematical tools and their application,Katrine S. Rogers; Edward T. F. Rogers,2020,article,Journal of Physics Photonics,27,Q09,no
10.1088/2516-1091/abfeb7,10.1088/2516-1091/abfeb7,https://openalex.org/W3160565988,A review of low-cost and portable optical coherence tomography,Ge Song; Evan T. Jelly; Kengyeh K. Chu; Wesley Y. Kendall; Adam Wax,2021,article,Progress in Biomedical Engineering,78,Q04;Q08,no
10.1089/3dp.2020.0328,10.1089/3dp.2020.0328,https://openalex.org/W4306412085,Three-Dimensional Printed Laryngoscopes as Allies Against COVID-19,Florentino Fernandes Mendes; Leandro de Freitas Spinelli; Pedro Antônio Sartini Dutra; Eduard Santos de Braga; Luis Fernando Marcelino Braga; Andréia Gomes Aires; Simone S. Amaral; Afonso Reguly; Gisele Orlandi Introíni,2022,article,3D Printing and Additive Manufacturing,5,Q08,no
10.1089/neu.2015.3956,10.1089/neu.2015.3956,https://openalex.org/W1637415212,A Unilateral Cervical Spinal Cord Contusion Injury Model in Non-Human Primates ( <i>Macaca mulatta</i> ),Ernesto A. Salegio; Jacqueline C. Bresnahan; Carolyn J. Sparrey; William Camisa; Jason Fischer; Jeremi Leasure; Jennifer Buckley; Yvette S. Nout‐Lomas; E Rosenzweig; Rod Moseanko; Sarah C. Strand; Stephanie Hawbecker; Marie-Josee Lemoy; Jenny Haefeli; Xiaokui Ma; Jessica L. Nielson; V. Reggie Edgerton; Adam R. Ferguson; Mark H. Tuszynski; Michael S. Beattie,2015,article,Journal of Neurotrauma,51,Q08,no
10.1089/ten.tea.2013.0551,10.1089/ten.tea.2013.0551,https://openalex.org/W143009966,"Comparison of Cellular Architecture, Axonal Growth, and Blood Vessel Formation Through Cell-Loaded Polymer Scaffolds in the Transected Rat Spinal Cord",Nicolas N. Madigan; Bingkun K. Chen; Andrew M. Knight; Gemma E. Rooney; Eva Sweeney; Lisa Kinnavane; Michael J. Yaszemski; Peter Dockery; Timothy O’Brien; Siobhán S. McMahon; Anthony J. Windebank,2014,article,Tissue Engineering Part A,43,Q05,no
10.1093/aobpla/plv140,10.1093/aobpla/plv140,https://openalex.org/W2241808867,Fastest predators in the plant kingdom: functional morphology and biomechanics of suction traps found in the largest genus of carnivorous plants,Simon Poppinga; Carmen Weißkopf; Anna Sophia Westermeier; Tom Masselter; Thomas Speck,2015,article,AoB Plants,72,Q08,no
10.1093/auk/121.2.548,10.1093/auk/121.2.548,https://openalex.org/W4232338954,Sap-Feeding Behavior and Tree Selection in the Endangered Akiapolaau (Hemignathus Munroi) in Hawaii,Liba Pejchar; Jack Jeffrey,2004,article,The Auk,9,Q02,no
10.1093/micmic/ozad105,10.1093/micmic/ozad105,https://openalex.org/W4387728341,"Optical Measurement of the Stoichiometry of Thin-Film Compounds Synthetized From Multilayers: Example of Cu(In,Ga)Se2",Ricardo G. Poeira; Daniel Siopa; Pedro Anacleto; Sascha Sadewasser; Phillip J. Dale,2023,article,Microscopy and Microanalysis,1,Q09,no
10.1093/nsr/nwaa088,10.1093/nsr/nwaa088,https://openalex.org/W3021300427,"Exposed facet-controlled N2 electroreduction on distinct Pt3Fe nanostructures of nanocubes, nanorods and nanowires",Tong Wu; Bolong Huang; Pengtang Wang; Qi Shao; Xiaoqing Huang,2020,article,National Science Review,71,Q02,no
10.1097/00002480-200103000-00100,10.1097/00002480-200103000-00100,https://openalex.org/W2025499413,PARTICLE IMAGE VELOCIMETRY WITHIN HEARTQUESTTM LVAD,Steven W. Day; Nicolas Landrot; P Lemire; James C. McDaniel; Houston G. Wood; Paul E. Allaire,2001,article,ASAIO Journal,0,Q12,no
10.1097/00002480-200303000-00319,10.1097/00002480-200303000-00319,https://openalex.org/W2004739074,MEASUREMENTS OF THE PULSED FLOW IN A BLOOD PUMP,Steven W. Day; J. C. McDaniel; Houston G. Wood; P. E. Allaire,2003,article,ASAIO Journal,0,Q12,no
10.1098/rsos.231158,10.1098/rsos.231158,https://openalex.org/W4393854464,Understanding the influence of surgical parameters on craniofacial surgery outcomes: a computational study,Kunhou He; Jan L. Bruse; Naiara Rodríguez-Flórez; David Dunaway; Owase Jeelani; Silvia Schievano; Alessandro Borghi,2024,article,Royal Society Open Science,4,Q05,no
10.1101/2020.03.12.989129,10.1101/2020.03.12.989129,https://openalex.org/W3011269945,Multi-Channel Whole-Head OPM-MEG: Helmet Design and a Comparison with a Conventional System,Ryan M. Hill; Elena Boto; Molly Rea; Niall Holmes; James Leggett; Laurence A. Coles; Manolis Papastavrou; Sarah Everton; Benjamin A.E. Hunt; Dominic Sims; James Osborne; Vishal Shah; Richard Bowtell; Matthew J. Brookes,2020,preprint,bioRxiv (Cold Spring Harbor Laboratory),14,Q05,no
10.1101/2020.10.27.355768,10.1101/2020.10.27.355768,https://openalex.org/W3097390222,Spatially expandable fiber-based probes as a multifunctional deep brain interface,Shan Jiang; Dipan C. Patel; Jongwoon Kim; Shuo Yang; William A. Mills; Yujing Zhang; Kaiwen Wang; Ziang Feng; Sujith Vijayan; Wenjun Cai; Anbo Wang; Yuanyuan Guo; Ian F. Kimbrough; Harald Sontheimer; Xiaoting Jia,2020,preprint,bioRxiv (Cold Spring Harbor Laboratory),4,Q04,no
10.1101/2022.08.25.505190,10.1101/2022.08.25.505190,https://openalex.org/W4293862764,SEC-seq: Association of molecular signatures with antibody secretion in thousands of single human plasma cells,Rene Yu-Hong Cheng; Joseph de Rutte; Andee R. Ott; Lucienne Bosler; Wei-Ying Kuo; Jesse Liang; Brian E. Hall; David J. Rawlings; Dino Di Carlo; Richard G. James,2022,preprint,bioRxiv (Cold Spring Harbor Laboratory),8,Q05,no
10.1101/569541,10.1101/569541,https://openalex.org/W2920962243,A robotic platform for fluidically-linked human body-on-chips experimentation,Richard Novák; Miles Ingram; Susan L. Clauson; Debarun Das; Aaron Delahanty; Anna Herland; Ben M. Maoz; Sauveur S. F. Jeanty; Mahadevabharath R. Somayaji; Morgan A. Burt; Elizabeth Calamari; Angeliki Chalkiadaki; Alexander Cho; Youngjae Choe; David B. Chou; Michael J. Cronce; Stephanie Dauth; Toni Divic; Jose Fernandez-Alcon; Thomas C. Ferrante; John P. Ferrier; Edward A. Fitzgerald; Rachel C. Fleming; Sasan Jalili‐Firoozinezhad; Thomas Grevesse; Josue A. Goss; Tiama Hamkins-Indik; Olivier Henry; Chris Hinojosa; Tessa Huffstater; Kyung‐Jin Jang; Ville Kujala; Lian Leng; Robert Mannix; Yuka Milton; Janna Nawroth; Bret Nestor; Carlos F. Ng; Blakely B. O’Connor; Tae‐Eun Park; Henry Sanchez; Josiah Sliz; Alexandra Sontheimer-Phelps; Ben Swenor; Guy Thompson; George J. Touloumes; Zachary Tranchemontagne; Norman Wen; Moran Yadid; Anthony Bahinski; Geraldine A. Hamilton; Daniel Levner; Oren Levy; Andrzej Przekwas; Rachelle Prantil‐Baun; Kevin Kit Parker; Donald E. Ingber,2019,preprint,bioRxiv (Cold Spring Harbor Laboratory),8,Q05,no
10.1103/physreva.71.053813,10.1103/physreva.71.053813,https://openalex.org/W2150633727,Quantitative analysis of directional spontaneous emission spectra from light sources in photonic crystals,Ivan S. Nikolaev; Peter Lodahl; Willem L. Vos,2005,article,Physical Review A,54,Q05,no
10.1103/physrevaccelbeams.19.092001,10.1103/physrevaccelbeams.19.092001,https://openalex.org/W2510004210,Production of superconducting 1.3-GHz cavities for the European X-ray Free Electron Laser,W. Singer; A. Brinkmann; R. Brinkmann; J. Iversen; A. Matheisen; W.-D. Moeller; A. Navitski; D. Reschke; Joern Schaffran; А. А. Сулимов; Nick Walker; H. Weise; P. Michelato; Laura Monaco; C. Pagani; Mateusz Wiencek,2016,article,Physical Review Accelerators and Beams,41,Q08,no
10.1103/physrevaccelbeams.23.084801,10.1103/physrevaccelbeams.23.084801,https://openalex.org/W3082088904,"High-gradient testing of an <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>S</mml:mi></mml:math>-band, normal-conducting low phase velocity accelerating structure",Anna Vnuchenko; D. Esperante Pereira; Benito Gimeno Martínez; Stefano Benedetti; Nuria Catalán Lasheras; M. Garlasch; Alexej Grudiev; Gerard McMonagle; S. Pitman; Igor Syratchev; Marc Timmins; Rolf Wegner; Benjamin Woolley; Walter Wuensch; Angeles Faus Golfe,2020,article,Physical Review Accelerators and Beams,17,Q08,no
10.1103/physrevaccelbeams.26.103101,10.1103/physrevaccelbeams.26.103101,https://openalex.org/W4387503056,Topographic evolution of heat-treated Nb upon electropolishing for superconducting rf applications,Eric Lechner; Jonathan W. Angle; Carrie Baxley; Michael J. Kelley; Charles Reece,2023,article,Physical Review Accelerators and Beams,6,Q02,no
10.1103/physrevb.53.6865,10.1103/physrevb.53.6865,https://openalex.org/W9982108,Mécanismes de transfert direct en corrosion microbienne des aciers : Application à Geobacter sulfurreducens et à l’hydrogénase de Clostridium acetobutylicum.,Maha Mehanna,2009,dissertation,"Physical review. B, Condensed matter",2,Q09,no
10.1103/physrevb.66.235204,10.1103/physrevb.66.235204,https://openalex.org/W1972900836,Near-field imaging of light propagation in photonic crystal waveguides: Explicit role of Bloch harmonics,Sergey I. Bozhevolnyi; Valentyn S. Volkov; Thomas Søndergaard; Alexandra Boltasseva; P.I. Borel; Martin Kristensen,2002,article,"Physical review. B, Condensed matter",79,Q04,no
10.1103/physrevb.78.041401,10.1103/physrevb.78.041401,https://openalex.org/W2168572786,Spectral tuning and near-field imaging of photonic crystal microcavities,Francesca Intonti; Silvia Vignolini; Francesco Riboli; A. Vinattieri; Diederik S. Wiersma; M. Colocci; Laurent Balet; Christelle Monat; C. Zinoni; Lianhe Li; R. Houdré; Marco Francardi; Annamaria Gerardino; Andrea Fiore; Massimo Gurioli,2008,article,Physical Review B,72,Q04,no
10.1103/physrevb.89.144504,10.1103/physrevb.89.144504,https://openalex.org/W2130667568,"Search for spontaneous edge currents and vortex imaging in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:msub><mml:mi>Sr</mml:mi><mml:mn>2</mml:mn></mml:msub><mml:mi>Ru</mml:mi><mml:msub><mml:mi mathvariant=""normal"">O</mml:mi><mml:mn>4</mml:mn></mml:msub></mml:math>mesostructures",P. J. Curran; S. J. Bending; W. M. Desoky; Alexandra S. Gibbs; Stephen Lee; A. P. Mackenzie,2014,article,Physical Review B,87,Q02,no
10.1103/physrevc.53.2809,10.1103/physrevc.53.2809,https://openalex.org/W1993900405,Mean-field description of ground-state properties of drip-line nuclei: Pairing and continuum effects,J. Dobaczewski; W. Nazarewicz; T. R. Werner; J. F. Berger; C. R. Chinn; J. Dechargé,1996,article,Physical Review C,611,Q02,no
10.1103/physrevlett.108.127402,10.1103/physrevlett.108.127402,https://openalex.org/W2087767372,Plasmon Scattering from Single Subwavelength Holes,Nir Rotenberg; Marko Spasenović; T. L. Krijger; B. le Feber; F. Javier Garcı́a de Abajo; L. Kuipers,2012,article,Physical Review Letters,80,Q02,no
10.1103/physrevlett.94.073903,10.1103/physrevlett.94.073903,https://openalex.org/W2125702087,Real-Space Observation of Ultraslow Light in Photonic Crystal Waveguides,H. Gersen; T. J. Karle; R.J.P. Engelen; Wim Bogaerts; Jeroen P. Korterik; N.F. van Hulst; Thomas F. Krauss; L. Kuipers,2005,article,Physical Review Letters,485,Q04,no
10.1103/revmodphys.89.045003,10.1103/revmodphys.89.045003,https://openalex.org/W2755567273,Hybrid photonic-crystal fiber,Christos Markos; John C. Travers; A. Abdolvand; Benjamin J. Eggleton; Ole Bang,2017,article,Reviews of Modern Physics,319,Q04,no
10.1108/rpj-10-2020-0231,10.1108/rpj-10-2020-0231,https://openalex.org/W3183690414,A scalable mass customisation design process for 3D-printed respirator mask to combat COVID-19,Shiya Li; Usman Waheed; Mohanad Bahshwan; Louis Zizhao Wang; Livia M. Kalossaka; Jiwoo Choi; Franciska Kundrak; Alexandros Lattas; Stylianos Ploumpis; Stefanos Zafeiriou; Connor Myant,2021,article,Rapid Prototyping Journal,12,Q05,no
10.1109/access.2020.2980324,10.1109/access.2020.2980324,https://openalex.org/W3011213227,Research on the Tip Clearance Measuring Method Based on AC Discharge,Bing Yu; Tao Zhang; Hongwei Ke; Tianhong Zhang,2020,article,IEEE Access,13,Q12,yes
10.1109/access.2020.3009025,10.1109/access.2020.3009025,https://openalex.org/W3043778840,"A Single-Shot, Pixel Encoded 3D Measurement Technique for Structure Light",Ahsan Elahi; Jun Lu; Qidan Zhu; Yong Li,2020,article,IEEE Access,12,Q11,no
10.1109/access.2020.3036869,10.1109/access.2020.3036869,https://openalex.org/W3112119485,Research and Experiment of Repairable Space Telescope Interface System,Zhen Shi; Weiguo Zhao; Libao Yang; Xun Yang; Qingya Li; Yaoyu Zhang,2020,article,IEEE Access,4,Q12,no
10.1109/access.2020.3048953,10.1109/access.2020.3048953,https://openalex.org/W3120787141,Research on the Accuracy and Speed of Three-Dimensional Reconstruction of Liver Surface Based on Binocular Structured Light,Xin Zhang; Long Chen; Fengfeng Zhang; Lining Sun,2021,article,IEEE Access,12,Q05,no
10.1109/access.2021.3052217,10.1109/access.2021.3052217,https://openalex.org/W3124400615,A Novel Intelligent Fault Diagnosis Approach for Early Cracks of Turbine Blades via Improved Deep Belief Network Using Three-Dimensional Blade Tip Clearance,Xin Huang; Xiaodong Zhang; Yiwei Xiong; Hongcheng Liu; Yingjie Zhang,2021,article,IEEE Access,25,Q12,yes
10.1109/access.2021.3082858,10.1109/access.2021.3082858,https://openalex.org/W3164382946,A Review of Knowledge-Based Defect Identification via PRPD Patterns in High Voltage Apparatus,Tohid Shahsavarian; Yue Pan; Zhousheng Zhang; Cheng Pan; Hadi Naderiallaf; Jim Guo; Chuanyang Li; Yang Cao,2021,article,IEEE Access,65,Q08,no
10.1109/access.2021.3088462,10.1109/access.2021.3088462,https://openalex.org/W3168767643,A Differential Light Intensity-Modulation Optical Fiber Bundles Designed for Milling Tool Vibration Measurement,Binghui Jia; Jing Yu,2021,article,IEEE Access,7,Q12,no
10.1109/access.2023.3294308,10.1109/access.2023.3294308,https://openalex.org/W4383890088,Hyperconnectivity Proposal for Smart Manufacturing,Alberto Martínez-Gutiérrez; Javier Díez-González; Paula Verde; Rubén Ferrero-Guillén; Hilde Pérez,2023,article,IEEE Access,21,Q08,no
10.1109/access.2023.3328555,10.1109/access.2023.3328555,https://openalex.org/W4388018870,Curvature-Based Machine Vision Method for Measuring the Dimension of Ball Screws,Yijia Chen; Yao Yao; Hao Yang; Yue Wu; Kunpeng Zhang; Xiaoming Pan,2023,article,IEEE Access,4,Q05,no
10.1109/access.2023.3347629,10.1109/access.2023.3347629,https://openalex.org/W4390241494,Research on Point Cloud Processing and Grinding Trajectory Planning of Steel Helmet Based on 3D Scanner,Yuxiang Meng; Yu Jiang; Yi Li; Guibing Pang; Qiang Tong,2023,article,IEEE Access,6,Q05,no
10.1109/access.2024.3365506,10.1109/access.2024.3365506,https://openalex.org/W4391854956,Wafer Surface Reconstruction Based on Shape From Focus,S.H. Wang; Jiqiang Chen; Hua Shi; Mingye Li,2024,article,IEEE Access,4,Q11,no
10.1109/aero.2000.877917,10.1109/aero.2000.877917,https://openalex.org/W1858193342,Health monitoring and prognostics of blades and disks with blade tip sensors,A. von Flotow; Mathieu Mercadal; Peter M. Tappert,2002,conference-paper,,91,Q12,no
10.1109/eiect58010.2022.00012,10.1109/eiect58010.2022.00012,https://openalex.org/W4352982530,Clip Feature Extraction Method Based on 3D Point Cloud,Ming‐Ming Zhou; Simeng Liang; Shaonan Wu,2022,conference-paper,,0,Q05,no
10.1109/iccv48922.2021.01412,10.1109/iccv48922.2021.01412,https://openalex.org/W3149467904,Physics-based Differentiable Depth Sensor Simulation,Benjamin Planche; Rajat Singh,2021,conference-paper,2021 IEEE/CVF International Conference on Computer Vision (ICCV),1,Q05,no
10.1109/iciasf.1995.519125,10.1109/iciasf.1995.519125,https://openalex.org/W2116705929,Demonstration of a stabilized alumina/ethanol colloidal dispersion technique for seeding high temperature air flows,Mark P. Wernet; Gary J. Skoch; Judith H. Wernet,2002,conference-paper,,13,Q12,no
10.1109/icmsp55950.2022.9859121,10.1109/icmsp55950.2022.9859121,https://openalex.org/W4293056082,Research on tubing Defect Detection Method based on laser scanning,Zhengguo Yan; Kun Yang,2022,conference-paper,"2022 4th International Conference on Intelligent Control, Measurement and Signal Processing (ICMSP)",1,Q05,no
10.1109/icsens.2017.8234217,10.1109/icsens.2017.8234217,https://openalex.org/W2767195725,Error model of misalignment error in a radial 3D scanner,Neha Mathur; Rahul Summan; Gordon Dobie; Graeme West; Stephen Marshall,2017,conference-paper,,0,Q05,no
10.1109/isot.2012.6403235,10.1109/isot.2012.6403235,https://openalex.org/W2078699947,Flexible and miniaturized microscope for three dimensionnal measurements,Erwan Dupont; Frédéric Lamarque; Tanneguy Redarce,2012,conference-paper,,0,Q05,no
10.1109/ist.2017.8261508,10.1109/ist.2017.8261508,https://openalex.org/W2783718395,Global calibration approach for 3D vision system carried by moving robot used for measuring inner surface of long pipeline,Ming Chi; Fuqiang Zhou; Xin Chen; Haishu Tan,2017,conference-paper,,0,Q05,yes
10.1109/jeds.2020.3022730,10.1109/jeds.2020.3022730,https://openalex.org/W3084330159,Under-FET Thermal Sensor Enabling Smart Full-Chip Run-Time Thermal Management,Cheng Li; Qi Chen; Feilong Zhang; Mengfu Di; Zijin Pan; Fei Lu; Albert Wang,2020,article,IEEE Journal of the Electron Devices Society,5,Q09,no
10.1109/jiot.2023.3243037,10.1109/jiot.2023.3243037,https://openalex.org/W4319341361,Hybrid Anomaly Detection Model on Trusted IoT Devices,Paúl D. Rosero-Montalvo; Zsolt István; Pınar Tözün; Wilmar Hernández,2023,article,IEEE Internet of Things Journal,45,Q08,no
10.1109/jlt.2019.2890953,10.1109/jlt.2019.2890953,https://openalex.org/W2907301985,Optical Fiber Probe Viscometer Based on Hollow Capillary Tube,André D. Gomes; Jens Kobelke; Jörg Bierlich; Kay Schuster; Hartmut Bartelt; Orlando Frazão,2019,article,Journal of Lightwave Technology,11,Q04,yes
10.1109/jlt.2019.2908447,10.1109/jlt.2019.2908447,https://openalex.org/W2930742496,Liquid-Core Microstructured Polymer Optical Fiber as Fiber-Enhanced Raman Spectroscopy Probe for Glucose Sensing,Mikel Azkune; Timea Frosch; Eneko Arrospide; Gotzon Aldabaldetreku; Iñaki Bikandi; Joseba Zubía; Jürgen Popp; Torsten Frosch,2019,article,Journal of Lightwave Technology,33,Q04,no
10.1109/jlt.2021.3061606,10.1109/jlt.2021.3061606,https://openalex.org/W3129313540,High Resolution Optical Coherence Tomography,Xin Ge; Shufen Chen; Si Chen; Linbo Liu,2021,article,Journal of Lightwave Technology,58,Q04,no
10.1109/jlt.2021.3125111,10.1109/jlt.2021.3125111,https://openalex.org/W3213920293,Plasmon-Enhanced Refractometry Through Cladding Mode Excitation by a Fiber Bragg Grating in Photonic Crystal Fiber,Olga Rusyakina; Tigran Baghdasaryan; Karima Chah; Paweł Mergo; Hugo Thienpont; Christophe Caucheteur; Francis Berghmans; Thomas Geernaert,2021,article,Journal of Lightwave Technology,14,Q04,no
